Time [s],Packet ID,MOSI,MISO
0.0201213400,0,0xFF00FF00,0xFFFFFFFF
0.0201278600,1,0x20800100,0xFFFFFFFF
0.0201344000,2,0x20000010,0x2802E089
0.0201409200,3,0x20000010,0x2802E089
0.0206209400,4,0xFF00FF00,0x2800000C
0.0206274800,5,0x20800100,0xA800000C
0.0206340000,6,0x20000010,0xA802E089
0.0206405400,7,0x20000010,0x2802E089
0.0211212600,8,0xFF00FF00,0x2800000C
0.0211278000,9,0x20800100,0xA800000C
0.0211343400,10,0x20000010,0xA802E089
0.0211408600,11,0x20000010,0x2802E089
0.0216209400,12,0xFF00FF00,0x2800000C
0.0216274800,13,0x20800100,0xA800000C
0.0216340000,14,0x20000010,0xA802E089
0.0216405400,15,0x20000010,0x2802E089
0.0221209400,16,0xFF00FF00,0x2800000C
0.0221274800,17,0x20800100,0xA800000C
0.0221340200,18,0x20000010,0xA802E089
0.0221405400,19,0x20000010,0x2802E089
0.0226209600,20,0xFF00FF00,0x2800000C
0.0226274800,21,0x20800100,0xA800000C
0.0226340200,22,0x20000010,0xA802E089
0.0226405400,23,0x20000010,0x2802E089
0.0231209600,24,0xFF00FF00,0x2800000C
0.0231274800,25,0x20800100,0xA800000C
0.0231340200,26,0x20000010,0xA802E089
0.0231405400,27,0x20000010,0x2802E089
0.0236209600,28,0xFF00FF00,0x2800000C
0.0236274800,29,0x20800100,0xA800000C
0.0236340200,30,0x20000010,0xA802E089
0.0236405600,31,0x20000010,0x2802E089
0.0241214200,32,0xFF00FF00,0x2800000C
0.0241279600,33,0x20800100,0xA800000C
0.0241344800,34,0x20000010,0xA802E089
0.0241410200,35,0x20000010,0x2802E089
0.0246209600,36,0xFF00FF00,0x2800000C
0.0246275000,37,0x20800100,0xA800000C
0.0246340200,38,0x20000010,0xA802E089
0.0246405600,39,0x20000010,0x2802E089
0.0251209600,40,0xFF00FF00,0x2800000C
0.0251275000,41,0x20800100,0xA800000C
0.0251340200,42,0x20000010,0xA802E089
0.0251405600,43,0x20000010,0x2802E089
0.0256209600,44,0xFF00FF00,0x2800000C
0.0256275000,45,0x20800100,0xA800000C
0.0256340200,46,0x20000010,0xA802E089
0.0256405600,47,0x20000010,0x2802E089
0.0261209600,48,0xFF00FF00,0x2800000C
0.0261275000,49,0x20800100,0xA800000C
0.0261340400,50,0x20000010,0xA802E089
0.0261405600,51,0x20000010,0x2802E089
0.0266209800,52,0xFF00FF00,0x2800000C
0.0266275000,53,0x20800100,0xA800000C
