Time [s],Packet ID,MOSI,MISO
0.0205849000,0,0xFF00FF00,0xFFFFFFFF
0.0205914200,1,0x20800100,0xFFFFFFFF
0.0205979600,2,0x20000010,0x2802E089
0.0206044800,3,0x20000010,0x2802E089
0.0210842400,4,0xFF00FF00,0x2800000C
0.0210907800,5,0x20800100,0xA800000C
0.0210973000,6,0x20000010,0xA802E089
0.0211038400,7,0x20000010,0x2802E089
0.0215847600,8,0xFF00FF00,0x2800000C
0.0215913000,9,0x20800100,0xA800000C
0.0215978200,10,0x20000010,0xA802E089
0.0216043600,11,0x20000010,0x2802E089
0.0220842600,12,0xFF00FF00,0x2800000C
0.0220907800,13,0x20800100,0xA800000C
0.0220973200,14,0x20000010,0xA802E089
0.0221038400,15,0x20000010,0x2802E089
0.0225843200,16,0xFF00FF00,0x2800000C
0.0225908600,17,0x20800100,0xA800000C
0.0225973800,18,0x20000010,0xA802E089
0.0226039200,19,0x20000010,0x2802E089
0.0230842600,20,0xFF00FF00,0x2800000C
0.0230907800,21,0x20800100,0xA800000C
0.0230973200,22,0x20000010,0xA802E089
0.0231038600,23,0x20000010,0x2802E089
0.0235843400,24,0xFF00FF00,0x2800000C
0.0235908600,25,0x20800100,0xA800000C
0.0235974000,26,0x20000010,0xA802E089
0.0236039200,27,0x20000010,0x2802E089
0.0240842600,28,0xFF00FF00,0x2800000C
0.0240908000,29,0x20800100,0xA800000C
0.0240973200,30,0x20000010,0xA802E089
0.0241038600,31,0x20000010,0x2802E089
0.0245849800,32,0xFF00FF00,0x2800000C
0.0245915000,33,0x20800100,0xA800000C
0.0245980400,34,0x20000010,0xA802E089
0.0246045600,35,0x20000010,0x2802E089
0.0250842600,36,0xFF00FF00,0x2800000C
0.0250908000,37,0x20800100,0xA800000C
0.0250973200,38,0x20000010,0xA802E089
0.0251038600,39,0x20000010,0x2802E089
0.0255843400,40,0xFF00FF00,0x2800000C
0.0255908800,41,0x20800100,0xA800000C
0.0255974000,42,0x20000010,0xA802E089
0.0256039400,43,0x20000010,0x2802E089
0.0260842600,44,0xFF00FF00,0x2800000C
0.0260908000,45,0x20800100,0xA800000C
0.0260973400,46,0x20000010,0xA802E089
0.0261038600,47,0x20000010,0x2802E089
0.0265843400,48,0xFF00FF00,0x2800000C
0.0265908800,49,0x20800100,0xA800000C
0.0265974000,50,0x20000010,0xA802E089
0.0266039400,51,0x20000010,0x2802E089
0.0270842800,52,0xFF00FF00,0x2800000C
0.0270908000,53,0x20800100,0xA800000C
0.0270973400,54,0x20000010,0xA802E089
0.0271038600,55,0x20000010,0x2802E089
0.0275843400,56,0xFF00FF00,0x2800000C
0.0275908800,57,0x20800100,0xA800000C
0.0275974000,58,0x20000010,0xA802E089
0.0276039400,59,0x20000010,0x2802E089
0.0280842800,60,0xFF00FF00,0x2800000C
0.0280908000,61,0x20800100,0xA800000C
0.0280973400,62,0x20000010,0xA802E089
0.0281038800,63,0x20000010,0x2802E089
0.0285846000,64,0xFF00FF00,0x2800000C
0.0285911400,65,0x20800100,0xA800000C
0.0285976600,66,0x20000010,0xA802E089
0.0286042000,67,0x20000010,0x2802E089
0.0290846000,68,0xFF00FF00,0x2800000C
0.0290911400,69,0x20800100,0xA800000C
0.0290976600,70,0x20000010,0xA802E089
0.0291042000,71,0x20000010,0x2802E089
0.0295849800,72,0xFF00FF00,0x2800000C
0.0295915200,73,0x20800100,0xA800000C
0.0295980400,74,0x20000010,0xA802E089
0.0296045800,75,0x20000010,0x2802E089
0.0300846000,76,0xFF00FF00,0x2800000C
0.0300911400,77,0x20800100,0xA800000C
0.0300976800,78,0x20000010,0xA802E089
0.0301042000,79,0x20000010,0x2802E089
0.0305847200,80,0xFF00FF00,0x2800000C
0.0305912400,81,0x20800100,0xA800000C
0.0305977800,82,0x20000010,0xA802E089
0.0306043000,83,0x20000010,0x2802E089
0.0310846200,84,0xFF00FF00,0x2800000C
0.0310911400,85,0x20800100,0xA800000C
0.0310976800,86,0x20000010,0xA802E089
0.0311042000,87,0x20000010,0x2802E089
0.0315847200,88,0xFF00FF00,0x2800000C
0.0315912400,89,0x20800100,0xA800000C
0.0315977800,90,0x20000010,0xA802E089
0.0316043200,91,0x20000010,0x2802E089
0.0320846200,92,0xFF00FF00,0x2800000C
0.0320911400,93,0x20800100,0xA800000C
0.0320976800,94,0x20000010,0xA802E089
0.0321042000,95,0x20000010,0x2802E089
0.0325847200,96,0xFF00FF00,0x2800000C
0.0325912600,97,0x20800100,0xA800000C
0.0325977800,98,0x20000010,0xA802E089
0.0326043200,99,0x20000010,0x2802E089
0.0330846200,100,0xFF00FF00,0x2800000C
0.0330911600,101,0x20800100,0xA800000C
0.0330976800,102,0x20000010,0xA802E089
0.0331042200,103,0x20000010,0x2802E089
0.0335847200,104,0xFF00FF00,0x2800000C
0.0335912600,105,0x20800100,0xA800000C
0.0335977800,106,0x20000010,0xA802E089
0.0336043200,107,0x20000010,0x2802E089
0.0340846200,108,0xFF00FF00,0x2800000C
0.0340911600,109,0x20800100,0xA800000C
0.0340976800,110,0x20000010,0xA802E089
0.0341042200,111,0x20000010,0x2802E089
0.0345893600,112,0xFF00FF00,0x2800000C
0.0345958800,113,0x20800100,0xA800000C
0.0346024200,114,0x20000010,0xA802E089
0.0346089600,115,0x20000010,0x2802E089
0.0350847400,116,0xFF00FF00,0x2800000C
0.0350912600,117,0x20800100,0xA800000C
0.0350978000,118,0x20000010,0xA802E089
0.0351043200,119,0x20000010,0x2802E089
0.0355847400,120,0xFF00FF00,0x2800000C
0.0355912600,121,0x20800100,0xA800000C
0.0355978000,122,0x20000010,0xA802E089
0.0356043200,123,0x20000010,0x2802E089
0.0360846400,124,0xFF00FF00,0x2800000C
0.0360911600,125,0x20800100,0xA800000C
0.0360977000,126,0x20000010,0xA802E089
0.0361042200,127,0x20000010,0x2802E089
0.0365847400,128,0xFF00FF00,0x2800000C
0.0365912800,129,0x20800100,0xA800000C
0.0365978000,130,0x20000010,0xA802E089
0.0366043400,131,0x20000010,0x2802E089
0.0370846400,132,0xFF00FF00,0x2800000C
0.0370911600,133,0x20800100,0xA800000C
0.0370977000,134,0x20000010,0xA802E089
0.0371042400,135,0x20000010,0x2802E089
0.0375847400,136,0xFF00FF00,0x2800000C
0.0375912800,137,0x20800100,0xA800000C
0.0375978000,138,0x20000010,0xA802E089
0.0376043400,139,0x20000010,0x2802E089
0.0380846400,140,0xFF00FF00,0x2800000C
0.0380911800,141,0x20800100,0xA800000C
0.0380977000,142,0x20000010,0xA802E089
0.0381042400,143,0x20000010,0x2802E089
0.0385847400,144,0xFF00FF00,0x2800000C
0.0385912800,145,0x20800100,0xA800000C
0.0385978000,146,0x20000010,0xA802E089
0.0386043400,147,0x20000010,0x2802E089
0.0390846400,148,0xFF00FF00,0x2800000C
0.0390911800,149,0x20800100,0xA800000C
0.0390977000,150,0x20000010,0xA802E089
0.0391042400,151,0x20000010,0x2802E089
0.0395850200,152,0xFF00FF00,0x2800000C
0.0395915600,153,0x20800100,0xA800000C
0.0395980800,154,0x20000010,0xA802E089
0.0396046200,155,0x20000010,0x2802E089
0.0400846600,156,0xFF00FF00,0x2800000C
0.0400911800,157,0x20800100,0xA800000C
0.0400977200,158,0x20000010,0xA802E089
0.0401042400,159,0x20000010,0x2802E089
0.0405847600,160,0xFF00FF00,0x2800000C
0.0405912800,161,0x20800100,0xA800000C
0.0405978200,162,0x20000010,0xA802E089
0.0406043600,163,0x20000010,0x2802E089
0.0410846600,164,0xFF00FF00,0x2800000C
0.0410911800,165,0x20800100,0xA800000C
0.0410977200,166,0x20000010,0xA802E089
0.0411042400,167,0x20000010,0x2802E089
0.0415847600,168,0xFF00FF00,0x2800000C
0.0415913000,169,0x20800100,0xA800000C
0.0415978200,170,0x20000010,0xA802E089
0.0416043600,171,0x20000010,0x2802E089
0.0420846600,172,0xFF00FF00,0x2800000C
0.0420911800,173,0x20800100,0xA800000C
0.0420977200,174,0x20000010,0xA802E089
0.0421042600,175,0x20000010,0x2802E089
