Time [s],Packet ID,MOSI,MISO
1.8483141800,76742,0x00000004,0x30600C45
1.8483182800,76743,0x00000004,0x30600C45
1.8483223800,76744,0x00000004,0x30600C45
1.8483264600,76745,0x00000004,0x30600C45
1.8483305600,76746,0x00000004,0x30600C45
1.8483346600,76747,0xD4000018,0x33F01F05
1.8483387400,76748,0x0D000018,0x30600201
1.8483428400,76749,0x09400000,0x30600005
1.8483469400,76750,0x08400008,0x30604004
1.8483812400,76751,0x00000004,0x30600C45
1.8483894400,76752,0x00000004,0x30600C45
1.8484584600,76753,0x09C00004,0x30602212
1.8484748400,76754,0x05400014,0x30602306
1.8484789400,76755,0x05400014,0x30602306
1.8484830200,76756,0x05400014,0x30602306
1.8485035000,76757,0x00000004,0x30600C45
1.8485076000,76758,0x00000004,0x30600C45
1.8485116800,76759,0x00000004,0x30600C45
1.8485157800,76760,0x00000004,0x30600C45
1.8488059000,76761,0x08000414,0x30600005
1.8488099800,76762,0x00000004,0x30600C45
1.8488140800,76763,0x00000004,0x30600C45
1.8488181800,76764,0x00000004,0x30600C45
1.8488222600,76765,0x00000004,0x30600C45
1.8488263600,76766,0x00000004,0x30600C45
1.8488304600,76767,0x00000004,0x30600C45
1.8488345600,76768,0xD4000018,0x33F01F05
1.8488386400,76769,0x0D000018,0x30600201
1.8488427400,76770,0x09400000,0x30600005
1.8488468400,76771,0x08400008,0x30604004
1.8488811400,76772,0x00000004,0x30600C45
1.8488893400,76773,0x00000004,0x30600C45
1.8489583600,76774,0x09C00004,0x30602212
1.8489747400,76775,0x05400014,0x30602306
1.8489788400,76776,0x05400014,0x30602306
1.8489829200,76777,0x05400014,0x30602306
1.8490034000,76778,0x00000004,0x30600C45
1.8490074800,76779,0x00000004,0x30600C45
1.8490115800,76780,0x00000004,0x30600C45
1.8490156800,76781,0x00000004,0x30600C45
1.8493060000,76782,0x08000414,0x30600005
1.8493101000,76783,0x00000004,0x30600C45
1.8493141800,76784,0x00000004,0x30600C45
1.8493182800,76785,0x00000004,0x30600C45
1.8493223800,76786,0x00000004,0x30600C45
1.8493264800,76787,0x00000004,0x30600C45
1.8493305600,76788,0x00000004,0x30600C45
1.8493346600,76789,0xD4000018,0x33F01F05
1.8493387600,76790,0x0D000018,0x30600201
1.8493428400,76791,0x09400000,0x30600005
1.8493469400,76792,0x08400008,0x30604004
1.8493812600,76793,0x00000004,0x30600C45
1.8493894400,76794,0x00000004,0x30600C45
1.8494584000,76795,0x09C00004,0x30602212
1.8494747800,76796,0x05400014,0x30602306
1.8494788800,76797,0x05400014,0x30602306
1.8494829800,76798,0x05400014,0x30602306
1.8495034400,76799,0x00000004,0x30600C45
1.8495075400,76800,0x00000004,0x30600C45
1.8495116200,76801,0x00000004,0x30600C45
1.8495157200,76802,0x00000004,0x30600C45
1.8498059400,76803,0x08000414,0x30600005
1.8498100400,76804,0x00000004,0x30600C45
1.8498141200,76805,0x00000004,0x30600C45
1.8498182200,76806,0x00000004,0x30600C45
1.8498223200,76807,0x00000004,0x30600C45
1.8498264000,76808,0x00000004,0x30600C45
1.8498305000,76809,0x00000004,0x30600C45
1.8498346000,76810,0xD4000018,0x33F01F05
1.8498387000,76811,0x0D000018,0x30600201
1.8498427800,76812,0x09400000,0x30600005
1.8498468800,76813,0x08400008,0x30604004
1.8498812000,76814,0x00000004,0x30600C45
1.8498893800,76815,0x00000004,0x30600C45
1.8499583800,76816,0x09C00004,0x30602212
1.8499747400,76817,0x05400014,0x30602306
1.8499788400,76818,0x05400014,0x30602306
1.8499829400,76819,0x05400014,0x30602306
1.8500034000,76820,0x00000004,0x30600C45
1.8500075000,76821,0x00000004,0x30600C45
1.8500115800,76822,0x00000004,0x30600C45
1.8500156800,76823,0x00000004,0x30600C45
1.8503064200,76824,0x08000414,0x30600005
1.8503105200,76825,0x00000004,0x30600C45
1.8503146200,76826,0x00000004,0x30600C45
1.8503187000,76827,0x00000004,0x30600C45
1.8503228000,76828,0x00000004,0x30600C45
1.8503269000,76829,0x00000004,0x30600C45
1.8503309800,76830,0x00000004,0x30600C45
1.8503350800,76831,0xD4000018,0x33F01F05
1.8503391800,76832,0x0D000018,0x30600201
1.8503432600,76833,0x09400000,0x30600005
1.8503473600,76834,0x08400008,0x30604004
1.8503816800,76835,0x00000004,0x30600C45
1.8503898600,76836,0x00000004,0x30600C45
1.8504584800,76837,0x09C00004,0x30602212
1.8504748600,76838,0x05400014,0x30602306
1.8504789600,76839,0x05400014,0x30602306
1.8504830600,76840,0x05400014,0x30602306
1.8505035200,76841,0x00000004,0x30600C45
1.8505076200,76842,0x00000004,0x30600C45
1.8505117000,76843,0x00000004,0x30600C45
1.8505158000,76844,0x00000004,0x30600C45
1.8508059000,76845,0x08000414,0x30600005
1.8508100000,76846,0x00000004,0x30600C45
1.8508141000,76847,0x00000004,0x30600C45
1.8508181800,76848,0x00000004,0x30600C45
1.8508222800,76849,0x00000004,0x30600C45
1.8508263800,76850,0x00000004,0x30600C45
1.8508304600,76851,0x00000004,0x30600C45
1.8508345600,76852,0xD4000018,0x33F01F05
1.8508386600,76853,0x0D000018,0x30600201
1.8508427600,76854,0x09400000,0x30600005
1.8508468400,76855,0x08400008,0x30604004
1.8508811600,76856,0x00000004,0x30600C45
1.8508893400,76857,0x00000004,0x30600C45
1.8509584200,76858,0x09C00004,0x30602212
1.8509748000,76859,0x05400014,0x30602306
1.8509789000,76860,0x05400014,0x30602306
