Time [s],Time Delta [ms],File Source,MOSI,MISO,Command Name,PE,Input Data Details,General Status,Sensor Data Flag,SID / add. Status,Output Data Details,Global Status Flag
0.02378275,0.00654999999999753,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02426315,0.4804000000000024,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.02426965,0.006499999999999562,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.0242762,0.0065500000000009995,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02428275,0.00654999999999753,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02476315,0.4804000000000024,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0247697,0.00654999999999753,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.02477625,0.0065500000000009995,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02478275,0.006499999999999562,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.0252637,0.4809500000000008,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.02527025,0.0065500000000009995,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.02527675,0.006499999999999562,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.0252833,0.0065500000000009995,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02576315,0.47984999999999695,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0257697,0.0065500000000009995,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.02577625,0.0065500000000009995,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02578275,0.006499999999999562,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02626315,0.4803999999999989,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0262697,0.0065500000000009995,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.0262762,0.006499999999999562,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02628275,0.0065500000000009995,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02676315,0.4803999999999989,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0267697,0.0065500000000009995,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.02677625,0.0065500000000009995,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02678275,0.006499999999999562,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02726315,0.4803999999999989,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0272697,0.0065500000000009995,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.0272762,0.006499999999999562,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02728275,0.0065500000000009995,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.0277632,0.4804499999999968,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0277697,0.006500000000003031,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.02777625,0.00654999999999753,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02778275,0.006499999999999562,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02826315,0.4804000000000024,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0282697,0.00654999999999753,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.0282762,0.006500000000003031,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02828275,0.00654999999999753,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.0287632,0.4804500000000003,SMA760,0xFF00FF00,0x2800000C,Unknown,,{},{},{},{},{},{}
0.0287697,0.006499999999999562,SMA760,0x20800100,0xA800000C,WR_MODE,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Voltage Mode"": 8, ""CRC"": 0, ""D"": 8}",{},{},{},"{""n/a"": 0}",{}
0.02877625,0.0065500000000009995,SMA760,0x20000010,0xA802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.02878275,0.006499999999999562,SMA760,0x20000010,0x2802E089,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
0.0292635,0.480750000000002,SMA760,0x378015BC,0x2800000D,WR_SOFT_RESET,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Soft Reset Activation Code"": 173, ""CRC"": 7, ""D"": 173}","{""TFF"": 0, ""TST"": 0, ""EOP"": 1, ""0(not_used)"": 0, ""TF"": 1, ""PF"": 0}",0,{},"{""CRC"": 5}",1
0.02927005,0.00654999999999753,SMA760,0x378015BC,0x2800000D,WR_SOFT_RESET,,"{""SEN"": 0, ""1"": 1, ""0"": 0, ""Soft Reset Activation Code"": 173, ""CRC"": 7, ""D"": 173}","{""TFF"": 0, ""TST"": 0, ""EOP"": 1, ""0(not_used)"": 0, ""TF"": 1, ""PF"": 0}",0,{},"{""CRC"": 5}",1
0.0292766,0.0065500000000009995,SMA760,0x20000010,0xFFFFFFFF,WR_MODE,,"{""SEN"": 0, ""1"": 0, ""0"": 0, ""Voltage Mode"": 0, ""CRC"": 4, ""D"": 0}",{},{},{},"{""n/a"": 1}",{}
